Level,Date and Time,Source,Event ID,Task Category
Information,9/24/2024 2:07:10 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:11:18 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	
Error Code:	0x0"
Information,9/24/2024 2:07:10 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:07:10 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:07:10 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:52 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:52 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:06:52 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:07:10 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:07:10 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
Information,9/24/2024 2:07:10 PM,Microsoft-Windows-Security-Auditing,4776,Credential Validation,"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Jsmith
Source Workstation:	KALI
Error Code:	0xC000006A"
